Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
United Republic of Tanzania: Mainland,2022,US$,44969095508.48,39377044074.06,5592051434.42,30882795557.16,32444822472.76,-1562026915.60,9886535611.66,16110098500.52,71243031930.46
United Republic of Tanzania: Zanzibar,2022,US$,1211798131.96,1083971345.49,127826786.47,732698055.41,743958918.23,-11260862.83,274826042.91,395499425.30,1753101807.86
"Tanzania, United Republic of",2022,US$,46180893640.44,40461015419.55,5719878220.89,31615493612.57,33188781390.99,-1573287778.43,10161361654.57,16505597925.82,72996133738.32
United States,2022,US$,17537565549067.20,14683166433522.10,2853975014976.78,4748377556109.72,4611884039308.70,134332410179.64,2426243160614.95,3535378851241.16,21236275771824.90
Uruguay,2022,US$,48988861323.88,39028120815.37,9944962444.71,12055510840.22,11529071080.30,181294624.70,18555869319.29,17251706367.55,62821749988.63
Uzbekistan,2022,US$,102416164770.15,88953848365.31,14456068966.42,40458063061.03,42141703571.91, ... ,20575963195.92,31677456383.18,123818743183.80
Vanuatu,2022,US$,772401953.22,607750371.51,163626700.24,452656100.46,447028016.43,6148427.69,161542579.21,579246757.60,849180224.72
Venezuela (Bolivarian Republic of),2022,US$,118494338323.28,97218612738.05,15727415576.49,4608234364.40,7703934331.53,-9875428840.44,29253571411.44,43627159115.78,106672478450.71
Viet Nam,2022,US$,238346833524.16,204435661012.57,33877576962.53,123645803507.73,117065479049.60,6523773881.09,336448801569.43,318194389207.49,358918387505.78
Western Africa,2022,US$,721809416308.80,655148358329.72,65887121028.56,144945299171.17,139720062550.81,11914073881.55,133750043978.42,185570465958.76,810013434761.54
Western Asia,2022,US$,2666412058514.48,1986293639326.31,672866300570.08,976643812074.44,933538153898.53,76493759474.43,1563693517099.71,1432903655053.13,3650250358976.13
Western Europe,2022,US$,6533425037353.30,4571979380970.84,1959729580853.20,2068808457820.45,2005061010881.12,-9942730637.29,4867472184600.47,4495076145859.79,8979190228132.16
World,2022,US$,65901439851462.20,51074900212847.80,14952332831456.30,24230442392101.50,23401165412628.50,89804155681.01,26206106790221.70,26006146620224.00,90126324823402.40
Yemen,2022,US$,26156991563.59,21813752316.73,4343626932.93,5430615809.68,7231318734.63,249007029.40,826522023.77,8411837304.43,19294190425.74
Zambia,2022,US$,12856730994.40,9168365582.66,3688365411.91,6947697616.46,6464565444.87,483132171.42,10350281861.24,7494325150.86,25726859629.84
Zimbabwe,2022,US$,22796428654.79,16237455887.99,7130911205.07,2439603769.32,2276538247.27,161481480.51,5795727839.18,9923718602.10,21572380482.76
